#Word Types: 14665		
#Word Tokens: 542836		
#Search Hits: 0		
Rank	Type	Freq
3448	num	11
3449	obriga	11
3450	obrigatoriedade	11
3451	obrigatórios	11
3452	ocasionando	11
3453	ocasiões	11
3454	ofender	11
3455	ope	11
3456	oportunamente	11
3457	opção	11
3458	oral	11
3459	originou	11
3460	pacífico	11
3461	parado	11
3462	participado	11
3463	percentuais	11
3464	permanecer	11
3465	permanente	11
3466	personalíssimos	11
3467	pleiteia	11
3468	poderiam	11
3469	portão	11
3470	postular	11
3471	pr	11
3472	praia	11
3473	preconiza	11
3474	preparo	11
3475	previamente	11
3476	preços	11
3477	procuração	11
3478	promovida	11
3479	propaganda	11
3480	provou	11
3481	publiquem	11
3482	qualificados	11
3483	quimioterápico	11
3484	ramo	11
3485	recargas	11
3486	reconhecendo	11
3487	refrigerador	11
3488	reiteradamente	11
3489	reiteração	11
3490	relatada	11
3491	renúncia	11
3492	reputação	11
3493	restrições	11
3494	ri	11
3495	sarandi	11
3496	sergio	11
3497	serve	11
3498	significativo	11
3499	singela	11
3500	soledade	11
3501	solidariedade	11
3502	sucesso	11
3503	sucinto	11
3504	surpreendido	11
3505	súmulas	11
3506	televisor	11
3507	unicamente	11
3508	validade	11
3509	vargas	11
3510	vejo	11
3511	vigor	11
3512	viável	11
3513	voltou	11
3514	vídeo	11
3515	whatsapp	11
3516	óbvio	11
3517	órtese	11
3518	órteses	11
3519	abrigo	10
3520	adimplido	10
3521	admissível	10
3522	afastadas	10
3523	afastando	10
3524	afirmam	10
3525	agrava	10
3526	ajuizar	10
3527	aplicados	10
3528	apontados	10
3529	apresentam	10
3530	aquilo	10
3531	aquém	10
3532	arguindo	10
3533	argumenta	10
3534	assegura	10
3535	astreintes	10
3536	atendimentos	10
3537	atestado	10
3538	atinentes	10
3539	atingidos	10
3540	atlas	10
3541	automaticamente	10
3542	avariados	10
3543	avarias	10
3544	balcão	10
3545	canais	10
3546	caracterizando	10
3547	carne	10
3548	celesc	10
3549	center	10
3550	cerceamento	10
3551	certifique	10
3552	chegada	10
3553	cirurgias	10
3554	cogitar	10
3555	comando	10
3556	compareceram	10
3557	compelir	10
3558	comprovadas	10
3559	conhecida	10
3560	conseguir	10
3561	considerou	10
3562	constatar	10
3563	contagem	10
3564	contrapartida	10
3565	contratar	10
3566	contribuiu	10
3567	convém	10
3568	cortada	10
3569	cotejo	10
3570	credenciada	10
3571	decadência	10
3572	deduzido	10
3573	deduzidos	10
3574	defeituoso	10
3575	deixado	10
3576	denominação	10
3577	dependem	10
3578	desacordo	10
3579	desenvolvimento	10
3580	desincumbida	10
3581	desincumbir	10
3582	desproporcional	10
3583	destinatária	10
3584	deus	10
3585	deveres	10
3586	dificuldades	10
3587	disciplina	10
3588	discutir	10
3589	dispensável	10
3590	disponibilizar	10
3591	disponível	10
3592	distintas	10
3593	distintos	10
3594	distinção	10
3595	divergência	10
3596	dizendo	10
3597	doutora	10
3598	eficaz	10
3599	elaborado	10
3600	eletrodomésticos	10
3601	empregadora	10
3602	ensina	10
3603	entendendo	10
3604	entregou	10
3605	enviadas	10
3606	equipara	10
3607	esclareço	10
3608	espera	10
3609	esperar	10
3610	estância	10
3611	executado	10
3612	executar	10
3613	exercer	10
3614	exigida	10
3615	exigível	10
3616	facilmente	10
3617	faça	10
3618	façam	10
3619	finalista	10
3620	frise	10
3621	fugindo	10
3622	fundamental	10
3623	houvesse	10
3624	ilíquido	10
3625	imperando	10
3626	improcedentes	10
3627	improvidos	10
3628	incumbindo	10
3629	indenizá	10
3630	indetermináveis	10
3631	indicando	10
3632	individuais	10
3633	inexigível	10
3634	infere	10
3635	intensamente	10
3636	intervindo	10
3637	justificasse	10
3638	l	10
3639	lançadas	10
3640	lesada	10
3641	levantada	10
3642	lícito	10
3643	medicamentos	10
3644	mercadorias	10
3645	merecendo	10
3646	ministra	10
3647	modificação	10
3648	mostram	10
3649	nacionais	10
3650	necessidades	10
3651	necessitava	10
3652	negando	10
3653	nona	10
3654	obras	10
3655	observe	10
3656	observou	10
3657	ocorrências	10
3658	oferecer	10
3659	ofertada	10
3660	operação	10
3661	operações	10
3662	oscilações	10
3663	pagadores	10
3664	penalidade	10
3665	perfaz	10
3666	permitindo	10
3667	poderão	10
3668	premissas	10
3669	presumida	10
3670	prevendo	10
3671	privacidade	10
3672	procurar	10
3673	promoção	10
3674	provavelmente	10
3675	providenciar	10
3676	providencie	10
3677	práticas	10
3678	pé	10
3679	qualificado	10
3680	quarto	10
3681	quitou	10
3682	raio	10
3683	reclamações	10
3684	recolhimento	10
3685	relacionada	10
3686	relatos	10
3687	relevância	10
3688	reparado	10
3689	reservas	10
3690	ressalvado	10
3691	restringir	10
3692	retificado	10
3693	retornou	10
3694	revogação	10
3695	rumo	10
3696	sanitário	10
3697	saída	10
3698	scpc	10
3699	seara	10
3700	sicrana	10
3701	silva	10
3702	similar	10
3703	socorro	10
3704	surge	10
3705	t	10
3706	trabalha	10
3707	transcorrido	10
3708	transitava	10
3709	trechos	10
3710	tristeza	10
3711	término	10
3712	união	10
3713	usado	10
3714	veiculado	10
3715	velha	10
3716	verdadeira	10
3717	verdadeiras	10
3718	vias	10
3719	vizinhos	10
3720	voluntária	10
3721	vítimas	10
3722	westphalen	10
3723	xxxv	10
3724	zzzzz	10
3725	abster	9
3726	acarretar	9
3727	aceitável	9
3728	acostar	9
3729	acréscimo	9
3730	aditivo	9
3731	afirmado	9
3732	agergs	9
3733	agido	9
3734	airlines	9
3735	alheio	9
3736	alimentação	9
3737	alterações	9
3738	alínea	9
3739	anatel	9
3740	andamento	9
3741	antônio	9
3742	anuais	9
3743	análogas	9
3744	aparente	9
3745	aplicar	9
3746	aprovação	9
3747	aproximado	9
3748	assegurada	9
3749	asseverando	9
3750	assistencial	9
3751	assumiu	9
3752	atendente	9
3753	atendida	9
3754	atendidas	9
3755	auto	9
3756	autorais	9
3757	bagé	9
3758	bancárias	9
3759	barulho	9
3760	cabalmente	9
3761	cachoeira	9
3762	cadastral	9
3763	caminha	9
3764	cancelou	9
3765	cano	9
3766	caracterizados	9
3767	cargo	9
3768	carreados	9
3769	casal	9
3770	causada	9
3771	cedente	9
3772	cenário	9
3773	certamente	9
3774	certificado	9
3775	certificar	9
3776	cheiro	9
3777	choque	9
3778	cirúrgica	9
3779	citadas	9
3780	climático	9
3781	co	9
3782	colendo	9
3783	companheiro	9
3784	comparecimento	9
3785	compatibilidade	9
3786	compromissada	9
3787	computador	9
3788	concretamente	9
3789	condutores	9
3790	conflito	9
3791	consagrou	9
3792	consertar	9
3793	constitucionalmente	9
3794	constou	9
3795	consumeirista	9
3796	consumida	9
3797	consumos	9
3798	contado	9
3799	contribuir	9
3800	contribuição	9
3801	convênio	9
3802	correspondentes	9
3803	corréu	9
3804	credenciados	9
3805	credito	9
3806	cvc	9
3807	cálculos	9
3808	daquelas	9
3809	declarando	9
3810	decreto	9
3811	define	9
3812	defiro	9
3813	desacolho	9
3814	desconstitua	9
3815	descrição	9
3816	desincumbiram	9
3817	deslinde	9
3818	destaque	9
3819	destina	9
3820	digital	9
3821	dimensão	9
3822	dispensaram	9
3823	divulgação	9
3824	educacional	9
3825	efetue	9
3826	eficiência	9
3827	elaboração	9
3828	elétricas	9
3829	elétricos	9
3830	empregatício	9
3831	enfrentamento	9
3832	enfrentar	9
3833	entidades	9
3834	envolve	9
3835	equidade	9
3836	escopo	9
3837	espaço	9
3838	esposo	9
3839	esquerdo	9
3840	estimativa	9
3841	estimação	9
3842	estiver	9
3843	exegese	9
3844	expediente	9
3845	experiências	9
3846	extinta	9
3847	farroupilha	9
3848	fidelidade	9
3849	filhos	9
3850	firmaram	9
3851	formas	9
3852	formulou	9
3853	fraudes	9
3854	frágil	9
3855	furtados	9
3856	gasto	9
3857	gaúcho	9
3858	geap	9
3859	geográfica	9
3860	gerados	9
3861	gestação	9
3862	getúlio	9
3863	idôneo	9
3864	ilícitos	9
3865	imperiosa	9
3866	incapaz	9
3867	incidirá	9
3868	incluiu	9
3869	incluída	9
3870	indispensáveis	9
3871	inexpressiva	9
3872	intercorrente	9
3873	intermédio	9
3874	interpretado	9
3875	interrupções	9
3876	intimidade	9
3877	iria	9
3878	irresignação	9
3879	jecível	9
3880	juntando	9
3881	juridicamente	9
3882	laser	9
3883	legitima	9
3884	lembra	9
3885	leopoldo	9
3886	levantamento	9
3887	listadas	9
3888	livro	9
3889	locupletamento	9
3890	lá	9
3891	líbano	9
3892	língua	9
3893	manhã	9
3894	manifestamente	9
3895	manipulação	9
3896	marca	9
3897	maus	9
3898	medicação	9
3899	melhores	9
3900	menores	9
3901	mostrando	9
3902	mostrou	9
3903	necessitou	9
3904	nefastos	9
3905	negativas	9
3906	nonoai	9
3907	notificada	9
3908	notícias	9
3909	observadas	9
3910	ocasionado	9
3911	oitiva	9
3912	operacionais	9
3913	oriundos	9
3914	ouvidas	9
3915	ouvido	9
3916	pactuados	9
3917	parece	9
3918	passaram	9
3919	pecuniário	9
3920	pendências	9
3921	percebeu	9
3922	perigo	9
3923	pessoalmente	9
3924	polos	9
3925	portas	9
3926	postulam	9
3927	pressupõe	9
3928	pressão	9
3929	prestou	9
3930	presumindo	9
3931	pretender	9
3932	preto	9
3933	prevalecer	9
3934	processar	9
3935	produtor	9
3936	produzidos	9
3937	proporções	9
3938	propõe	9
3939	protegidos	9
3940	prudente	9
3941	pugnando	9
3942	pág	9
3943	pátio	9
3944	pátrio	9
3945	pólo	9
3946	querendo	9
3947	quitados	9
3948	ramal	9
3949	recai	9
3950	reclamado	9
3951	rejeito	9
3952	repressivo	9
3953	reputo	9
3954	requerimentos	9
3955	residentes	9
3956	respaldo	9
3957	respeitar	9
3958	responsáveis	9
3959	ressaltando	9
3960	restabeleça	9
3961	restante	9
3962	rn	9
3963	robusta	9
3964	rosa	9
3965	réplica	9
3966	sabia	9
3967	saindo	9
3968	semelhante	9
3969	sinalização	9
3970	subordinado	9
3971	suspender	9
3972	suspendeu	9
3973	suspensa	9
3974	suspensivo	9
3975	telecomunicações	9
3976	temporário	9
3977	tomada	9
3978	tomado	9
3979	traduz	9
3980	tranquilidade	9
3981	transação	9
3982	transferido	9
3983	transferir	9
3984	tráfego	9
3985	vendido	9
3986	verificando	9
3987	viola	9
3988	violado	9
3989	vizinho	9
3990	viés	9
3991	voltar	9
3992	àquele	9
3993	áudio	9
3994	abusivos	8
3995	abuso	8
3996	aceito	8
3997	aceitou	8
3998	acontecimento	8
3999	adaptado	8
4000	adimpliu	8
4001	administrativas	8
4002	admitidos	8
4003	admitir	8
4004	adota	8
4005	adoto	8
4006	advinda	8
4007	afetou	8
4008	afirmados	8
4009	afora	8
4010	agindo	8
4011	ajuíza	8
4012	alcançar	8
4013	alterar	8
4014	american	8
4015	amparar	8
4016	anel	8
4017	anexou	8
4018	anotações	8
4019	apertada	8
4020	aplicativo	8
4021	apontada	8
4022	apontou	8
4023	articula	8
4024	articulados	8
4025	arvorezinha	8
4026	assente	8
4027	assinaturas	8
4028	atentando	8
4029	ativos	8
4030	atraindo	8
4031	ausentes	8
4032	autoridade	8
4033	avisos	8
4034	baila	8
4035	banho	8
4036	barras	8
4037	baseada	8
4038	bastasse	8
4039	benéfica	8
4040	buscando	8
4041	cabíveis	8
4042	cadastrada	8
4043	caderno	8
4044	carências	8
4045	causam	8
4046	celebração	8
4047	certos	8
4048	cinge	8
4049	citroen	8
4050	clonagem	8
4051	clínico	8
4052	coaduna	8
4053	cobrir	8
4054	cobrou	8
4055	colacionadas	8
4056	colhida	8
4057	colhido	8
4058	cometida	8
4059	cometido	8
4060	compensatória	8
4061	comprometeu	8
4062	comunicar	8
4063	comunidade	8
4064	concluo	8
4065	concomitantemente	8
4066	concorrencial	8
4067	condeno	8
4068	condizente	8
4069	condução	8
4070	confere	8
4071	confundir	8
4072	conservação	8
4073	considero	8
4074	constantemente	8
4075	constantina	8
4076	conste	8
4077	constrangimentos	8
4078	consultas	8
4079	contemplada	8
4080	contratualmente	8
4081	corporal	8
4082	cristalino	8
4083	cruzar	8
4084	crível	8
4085	culminando	8
4086	culposa	8
4087	danificado	8
4088	datas	8
4089	debitados	8
4090	decidiu	8
4091	decretação	8
4092	defendeu	8
4093	demonstre	8
4094	depositado	8
4095	depositados	8
4096	descabida	8
4097	descobriu	8
4098	desconhecimento	8
4099	desconsideração	8
4100	descrita	8
4101	desgaste	8
4102	devia	8
4103	devolvidos	8
4104	dianteira	8
4105	difícil	8
4106	diminuição	8
4107	dirigiu	8
4108	disponíveis	8
4109	disposta	8
4110	disseram	8
4111	donde	8
4112	dúplice	8
4113	econômicos	8
4114	educação	8
4115	efetivar	8
4116	elétrico	8
4117	emenda	8
4118	emergentes	8
4119	empreendimentos	8
4120	encaminhou	8
4121	enfrentados	8
4122	engenharia	8
4123	ensejam	8
4124	enviada	8
4125	enviado	8
4126	envolvem	8
4127	epígrafe	8
4128	escola	8
4129	especialidade	8
4130	esquina	8
4131	essência	8
4132	estudo	8
4133	examinado	8
4134	exato	8
4135	exatos	8
4136	excedente	8
4137	exigibilidade	8
4138	existem	8
4139	existindo	8
4140	expeça	8
4141	exposição	8
4142	extraconcursal	8
4143	falecimento	8
4144	faço	8
4145	fechamento	8
4146	figuras	8
4147	finalidades	8
4148	flores	8
4149	forense	8
4150	formulação	8
4151	fotografia	8
4152	fratura	8
4153	fundação	8
4154	futuro	8
4155	garantida	8
4156	geraram	8
4157	gestão	8
4158	gm	8
4159	gratuito	8
4160	guarulhos	8
4161	hum	8
4162	ibbca	8
4163	identificado	8
4164	igreja	8
4165	imei	8
4166	impedimento	8
4167	impende	8
4168	imrt	8
4169	inadmissível	8
4170	inconformidade	8
4171	incômodo	8
4172	indeferiu	8
4173	indicada	8
4174	indicou	8
4175	indícios	8
4176	inexistentes	8
4177	infração	8
4178	injusta	8
4179	inquestionável	8
4180	integrar	8
4181	interfira	8
4182	intimando	8
4183	inviolabilidade	8
4184	ir	8
4185	irritação	8
4186	jardim	8
4187	juntaram	8
4188	lacre	8
4189	larga	8
4190	legis	8
4191	lesiva	8
4192	ligada	8
4193	limitou	8
4194	locador	8
4195	locatária	8
4196	locatário	8
4197	magnética	8
4198	metros	8
4199	milita	8
4200	ministério	8
4201	minoração	8
4202	mostrar	8
4203	movimentação	8
4204	muitas	8
4205	mágoa	8
4206	márcio	8
4207	mão	8
4208	naqueles	8
4209	necessariamente	8
4210	nele	8
4211	noite	8
4212	nossas	8
4213	note	8
4214	objetivos	8
4215	oculto	8
4216	oficial	8
4217	oftalmológica	8
4218	olho	8
4219	onus	8
4220	onze	8
4221	opiniões	8
4222	oposição	8
4223	orientam	8
4224	oriundas	8
4225	pacífica	8
4226	passar	8
4227	pedágio	8
4228	perdas	8
4229	perecíveis	8
4230	perfazendo	8
4231	permissão	8
4232	perna	8
4233	perpetrada	8
4234	planilha	8
4235	pleitear	8
4236	ponderar	8
4237	postas	8
4238	postulante	8
4239	postularam	8
4240	poço	8
4241	praticar	8
4242	praxe	8
4243	preceitos	8
4244	precisar	8
4245	preciso	8
4246	premissa	8
4247	prescindindo	8
4248	pressuposto	8
4249	pretensões	8
4250	pretérita	8
4251	previa	8
4252	pro	8
4253	procuradora	8
4254	proporcionar	8
4255	pudessem	8
4256	públicas	8
4257	qualificadas	8
4258	quitadas	8
4259	quitar	8
4260	raciocínio	8
4261	ratifico	8
4262	rb	8
4263	rc	8
4264	recebe	8
4265	recebendo	8
4266	recomposição	8
4267	reestabelecimento	8
4268	regulada	8
4269	regulamentado	8
4270	regência	8
4271	remetidos	8
4272	repasse	8
4273	representada	8
4274	reprovabilidade	8
4275	rescisória	8
4276	residências	8
4277	resistida	8
4278	resolvido	8
4279	respeita	8
4280	respondendo	8
4281	responsabilizando	8
4282	ressonância	8
4283	restado	8
4284	resulta	8
4285	retifique	8
4286	retira	8
4287	retirar	8
4288	samsung	8
4289	sancionatório	8
4290	segura	8
4291	shopping	8
4292	sicrano	8
4293	simão	8
4294	situada	8
4295	sobreveio	8
4296	sopesando	8
4297	soube	8
4298	status	8
4299	subsequentes	8
4300	suplementar	8
4301	supostos	8
4302	suscitou	8
4303	sustentado	8
4304	sustento	8
4305	tarifária	8
4306	teceu	8
4307	tecnologia	8
4308	tensão	8
4309	tirar	8
4310	titulo	8
4311	togado	8
4312	tornou	8
4313	trafegando	8
4314	trans	8
4315	transcrevo	8
4316	trocar	8
4317	trocou	8
4318	títulos	8
4319	ultrapassado	8
4320	ultrapassar	8
4321	valoração	8
4322	verbal	8
4323	íntima	8
4324	íntimo	8
4325	abstenção	7
4326	acarretando	7
4327	acessórios	7
4328	acha	7
4329	acomodação	7
4330	acontece	7
4331	acordado	7
4332	acredita	7
4333	adentrar	7
4334	aderir	7
4335	adjunta	7
4336	adquirente	7
4337	advogada	7
4338	advém	7
4339	afeta	7
4340	agravada	7
4341	agua	7
4342	aguardando	7
4343	ajustado	7
4344	alude	7
4345	alunos	7
4346	amenizar	7
4347	anexar	7
4348	anuência	7
4349	apontando	7
4350	apreciada	7
4351	apto	7
4352	arbitrária	7
4353	arbítrio	7
4354	arguição	7
4355	arrolada	7
4356	artesiano	7
4357	assinou	7
4358	assistente	7
4359	assuma	7
4360	astreinte	7
4361	atendidos	7
4362	atestar	7
4363	atingem	7
4364	atinja	7
4365	atuais	7
4366	aumenta	7
4367	automática	7
4368	autônomas	7
4369	avaliado	7
4370	averiguar	7
4371	azo	7
4372	bancos	7
4373	barbosa	7
4374	batida	7
4375	belo	7
4376	benesse	7
4377	brasileiros	7
4378	bv	7
4379	call	7
4380	captação	7
4381	característica	7
4382	casamento	7
4383	catarata	7
4384	cateter	7
4385	cedro	7
4386	cerne	7
4387	chave	7
4388	chegando	7
4389	circular	7
4390	circulação	7
4391	civel	7
4392	clínicas	7
4393	cnpj	7
4394	colaciona	7
4395	colacionados	7
4396	colidindo	7
4397	coluna	7
4398	comentários	7
4399	compensado	7
4400	compensando	7
4401	completar	7
4402	completo	7
4403	composta	7
4404	compromisso	7
4405	comprovaram	7
4406	comprovasse	7
4407	computar	7
4408	comunicações	7
4409	conceder	7
4410	condenatório	7
4411	condenações	7
4412	condicionado	7
4413	condicionou	7
4414	conduzia	7
4415	conferido	7
4416	confissão	7
4417	constrição	7
4418	consubstanciada	7
4419	contestada	7
4420	contestado	7
4421	contestante	7
4422	contornos	7
4423	contraiu	7
4424	contratações	7
4425	controvertidos	7
4426	conveniado	7
4427	convincente	7
4428	corolário	7
4429	correspondem	7
4430	correções	7
4431	corsa	7
4432	cortado	7
4433	cpap	7
4434	criminais	7
4435	ctb	7
4436	curto	7
4437	custear	7
4438	cyrela	7
4439	danificados	7
4440	datado	7
4441	decenal	7
4442	declarou	7
4443	decorreram	7
4444	definida	7
4445	definir	7
4446	delas	7
4447	delitos	7
4448	demonstraram	7
4449	demonstrasse	7
4450	dependia	7
4451	derivação	7
4452	desagradável	7
4453	descabido	7
4454	desenvolvida	7
4455	desincumbido	7
4456	desinteresse	7
4457	desprovidas	7
4458	dessarte	7
4459	detrimento	7
4460	detém	7
4461	dezesseis	7
4462	dezessete	7
4463	dicção	7
4464	diferentes	7
4465	diligenciar	7
4466	dirige	7
4467	distribuir	7
4468	dizem	7
4469	doc	7
4470	dominante	7
4471	doutrinário	7
4472	duplo	7
4473	duradouras	7
4474	eletrônica	7
4475	elucidar	7
4476	elucidação	7
4477	embarcar	7
4478	emitindo	7
4479	empregados	7
4480	encaminhado	7
4481	encaminho	7
4482	encontrado	7
4483	enfim	7
4484	ensejaram	7
4485	entendem	7
4486	enunciados	7
4487	enviados	7
4488	enviar	7
4489	envolvido	7
4490	esclarecimentos	7
4491	escolha	7
4492	escusável	7
4493	específicas	7
4494	estatal	7
4495	estender	7
4496	estipulação	7
4497	estrangeiros	7
4498	etário	7
4499	evidenciam	7
4500	evolução	7
4501	exacerbada	7
4502	exagerado	7
4503	excluídos	7
4504	executiva	7
4505	exibição	7
4506	exorbitantes	7
4507	expensas	7
4508	explica	7
4509	extra	7
4510	extraordinária	7
4511	extrapola	7
4512	extrapolou	7
4513	facebook	7
4514	fazerem	7
4515	fazia	7
4516	fiscalização	7
4517	fixou	7
4518	forem	7
4519	formulada	7
4520	fornece	7
4521	forro	7
4522	forças	7
4523	frisar	7
4524	funcionar	7
4525	funcionária	7
4526	fundamentada	7
4527	fundamentado	7
4528	fáticos	7
4529	geração	7
4530	gira	7
4531	gravações	7
4532	grifado	7
4533	homem	7
4534	horizonte	7
4535	impacto	7
4536	impasse	7
4537	impotência	7
4538	imputação	7
4539	inadmissibilidade	7
4540	inaugural	7
4541	incluindo	7
4542	incluso	7
4543	indenizabilidade	7
4544	independem	7
4545	indicam	7
4546	indisponível	7
4547	ineficiência	7
4548	inevitável	7
4549	informados	7
4550	iniciou	7
4551	inscritos	7
4552	inss	7
4553	instabilidade	7
4554	instruído	7
4555	intensas	7
4556	interferência	7
4557	interna	7
4558	investimentos	7
4559	invés	7
4560	ipasem	7
4561	irrisório	7
4562	ix	7
4563	justificado	7
4564	led	7
4565	legislativa	7
4566	levada	7
4567	lima	7
4568	localizado	7
4569	madrugada	7
4570	manifestações	7
4571	mediação	7
4572	mencionados	7
4573	mereça	7
4574	momentos	7
4575	movimento	7
4576	msc	7
4577	máquinas	7
4578	nascimento	7
4579	negativos	7
4580	nitidamente	7
4581	norteadores	7
4582	notória	7
4583	numa	7
4584	obtido	7
4585	ocasionada	7
4586	ocorrente	7
4587	ocorreria	7
4588	ofertar	7
4589	olhos	7
4590	operada	7
4591	operado	7
4592	opinando	7
4593	oportunizado	7
4594	oposto	7
4595	opôs	7
4596	orientações	7
4597	pacotes	7
4598	pacto	7
4599	pactuação	7
4600	padrões	7
4601	pagarem	7
4602	parcelado	7
4603	parceria	7
4604	partido	7
4605	passe	7
4606	pedro	7
4607	pega	7
4608	penalidades	7
4609	pensamento	7
4610	penso	7
4611	permanece	7
4612	permanecendo	7
4613	permanecido	7
4614	pertence	7
4615	pesem	7
4616	pico	7
4617	postulação	7
4618	pousada	7
4619	precisou	7
4620	preclusão	7
4621	prequestionamento	7
4622	prerrogativa	7
4623	presenciou	7
4624	prestam	7
4625	prestando	7
4626	preste	7
4627	prevenção	7
4628	previ	7
4629	previdenciário	7
4630	previdência	7
4631	procedem	7
4632	produzindo	7
4633	proferidas	7
4634	proibição	7
4635	promoveu	7
4636	proponho	7
4637	propostos	7
4638	proventos	7
4639	publicar	7
4640	página	7
4641	pátria	7
4642	quantificar	7
4643	quimioterapia	7
4644	quinquenal	7
4645	razoavelmente	7
4646	reformar	7
4647	refuta	7
4648	regem	7
4649	regida	7
4650	registrada	7
4651	registrem	7
4652	relacionados	7
4653	relatadas	7
4654	relatam	7
4655	relevantes	7
4656	relª	7
4657	rem	7
4658	renner	7
4659	repará	7
4660	repassado	7
4661	represente	7
4662	reprovável	7
4663	requerentes	7
4664	ressalvados	7
4665	restituídos	7
4666	retirou	7
4667	reuniões	7
4668	revisar	7
4669	rim	7
4670	roaming	7
4671	sa	7
4672	sair	7
4673	salientou	7
4674	satisfatoriamente	7
4675	seguiu	7
4676	sentimentos	7
4677	sepé	7
4678	servem	7
4679	servidora	7
4680	servidão	7
4681	simplicidade	7
4682	sindicato	7
4683	sistemas	7
4684	socorre	7
4685	ss	7
4686	submetendo	7
4687	substancial	7
4688	sucessivo	7
4689	sugerido	7
4690	sujeitos	7
4691	suporte	7
4692	supramencionada	7
4693	suscita	7
4694	sócio	7
4695	tarde	7
4696	tarefa	7
4697	tentando	7
4698	torne	7
4699	totaliza	7
4700	transações	7
4701	tratadas	7
4702	tutelados	7
4703	usufruindo	7
4704	usuária	7
4705	utilizava	7
4706	vaga	7
4707	valer	7
4708	veda	7
4709	vedada	7
4710	vencer	7
4711	venha	7
4712	vertente	7
4713	vestibular	7
4714	viabilizar	7
4715	vinculada	7
4716	vintenária	7
4717	violando	7
4718	violarem	7
4719	volte	7
4720	válido	7
4721	xxxix	7
4722	xxxviii	7
4723	xxxxxxxxxxxx	7
4724	yyyyyyyy	7
4725	zero	7
4726	órbita	7
4727	ótica	7
4728	abalroado	6
4729	abertura	6
4730	abrange	6
4731	abriu	6
4732	aceitar	6
4733	acerto	6
4734	aconteceu	6
4735	acontecido	6
4736	acontecimentos	6
4737	acosta	6
4738	adentro	6
4739	aderente	6
4740	adianto	6
4741	adimplidos	6
4742	adimplir	6
4743	administrativos	6
4744	admitida	6
4745	adquiridos	6
4746	adquiriram	6
4747	aes	6
4748	aesc	6
4749	afastados	6
4750	afazeres	6
4751	ag	6
4752	agint	6
4753	aires	6
4754	alcançado	6
4755	alegrete	6
4756	ambulatorial	6
4757	amigos	6
4758	amplo	6
4759	anac	6
4760	analisa	6
4761	analise	6
4762	anhanguera	6
4763	animalzinho	6
4764	aniversário	6
4765	antecipadamente	6
4766	antecipado	6
4767	análogo	6
4768	apelos	6
4769	aponte	6
4770	aposentado	6
4771	apresentaram	6
4772	apresente	6
4773	apriorístico	6
4774	aprovada	6
4775	aptos	6
4776	apurada	6
4777	apurou	6
4778	aquelas	6
4779	armazenar	6
4780	arroladas	6
4781	assunção	6
4782	atrasos	6
4783	atribuindo	6
4784	atribuição	6
4785	atribuída	6
4786	auferido	6
4787	auxílio	6
4788	avaliar	6
4789	avençado	6
4790	averiguação	6
4791	aí	6
4792	baixo	6
4793	barreira	6
4794	baseia	6
4795	bastos	6
4796	beneficiada	6
4797	beneficiou	6
4798	bilhetes	6
4799	bogotá	6
4800	borja	6
4801	brevemente	6
4802	cahali	6
4803	caracterizadas	6
4804	cercam	6
4805	chagado	6
4806	chamadas	6
4807	charqueadas	6
4808	check	6
4809	cid	6
4810	cidadão	6
4811	cinqüenta	6
4812	cito	6
4813	classificação	6
4814	climáticas	6
4815	cm	6
4816	colidiu	6
4817	colocado	6
4818	combustível	6
4819	comodidade	6
4820	comparação	6
4821	completamente	6
4822	compreensão	6
4823	compromissado	6
4824	compulsar	6
4825	conclusões	6
4826	concordou	6
4827	concretas	6
4828	condenatória	6
4829	condená	6
4830	condicionar	6
4831	confessados	6
4832	confusão	6
4833	congelar	6
4834	conhece	6
4835	consciência	6
4836	conservar	6
4837	consolidou	6
4838	constituem	6
4839	constituinte	6
4840	constituídos	6
4841	contempla	6
4842	cooperativas	6
4843	correios	6
4844	corretora	6
4845	corrigir	6
4846	corroborado	6
4847	corroboram	6
4848	credores	6
4849	cujas	6
4850	culminou	6
4851	cumpra	6
4852	cártulas	6
4853	danosa	6
4854	decisum	6
4855	deduzindo	6
4856	deferir	6
4857	definitivamente	6
4858	deflui	6
4859	demorou	6
4860	depósitos	6
4861	deriva	6
4862	desacolher	6
4863	desacolhida	6
4864	desconstituindo	6
4865	descumprindo	6
4866	desembolsado	6
4867	desembolsados	6
4868	desenvolve	6
4869	desenvolver	6
4870	designada	6
4871	despicienda	6
4872	desses	6
4873	destinada	6
4874	destinado	6
4875	destinatários	6
4876	destinação	6
4877	detentora	6
4878	diligência	6
4879	discrepância	6
4880	dispondo	6
4881	dissuasória	6
4882	divulgados	6
4883	dj	6
4884	doenças	6
4885	dolosa	6
4886	dores	6
4887	doutrinária	6
4888	edcl	6
4889	educadora	6
4890	efetividade	6
4891	efetivos	6
4892	efetuaram	6
4893	egs	6
4894	eletroconvulsoterapia	6
4895	emergencial	6
4896	eminentemente	6
4897	empréstimos	6
4898	encaminhada	6
4899	encantado	6
4900	enquadrado	6
4901	entendia	6
4902	entendido	6
4903	epp	6
4904	equivocada	6
4905	estacionar	6
4906	estariam	6
4907	estação	6
4908	estimado	6
4909	estético	6
4910	estéticos	6
4911	eventualidade	6
4912	exata	6
4913	excede	6
4914	excepcionalidade	6
4915	exclusões	6
4916	executá	6
4917	exercida	6
4918	exigidos	6
4919	exigiu	6
4920	explico	6
